date,equity
2022-09-16,112288068.19640887
2022-09-19,110865883.19640887
2022-09-20,110757131.19640887
2022-09-21,109658324.19640887
2022-09-22,108927970.19640887
2022-09-23,106816477.19640887
2022-09-26,104290426.19640887
2022-09-27,104432980.19640887
2022-09-28,102629087.19640887
2022-09-29,102479834.19640887
2022-09-30,101187994.18140768
2022-10-04,102149932.18140768
2022-10-05,102479188.18140768
2022-10-06,103649039.18140768
2022-10-07,102629278.18140768
2022-10-11,102248145.18140768
2022-10-12,102586527.18140768
2022-10-13,100853507.18140768
2022-10-14,102442483.18140768
2022-10-17,102561052.18140768
2022-10-18,104013343.18140768
2022-10-19,103836560.18140768
2022-10-20,102137327.18140768
2022-10-21,102842783.18140768
2022-10-24,103512337.18140768
2022-10-25,103257924.18140768
2022-10-26,104065094.18140768
2022-10-27,106300972.18140768
2022-10-28,105834502.18140768
2022-10-31,106873599.72268507
2022-11-01,109399642.72268507
2022-11-02,108875531.72268507
2022-11-03,109236312.72268507
2022-11-04,109698976.72268507
2022-11-07,109868800.72268507
2022-11-08,110405443.72268507
2022-11-09,111679266.72268507
2022-11-10,110753557.72268507
2022-11-11,114593691.72268507
2022-11-14,114226937.72268507
2022-11-15,113400136.72268507
2022-11-16,113188858.72268507
2022-11-17,111917550.72268507
2022-11-18,111915909.72268507
2022-11-21,110638089.72268507
2022-11-22,109810033.72268507
2022-11-23,110579062.72268507
2022-11-24,112514797.72268507
2022-11-25,111899293.72268507
2022-11-28,111020429.72268507
2022-11-29,111439988.72268507
2022-11-30,112469130.76527777
2022-12-01,112727991.76527777
2022-12-02,111150206.76527777
2022-12-05,110164478.76527777
2022-12-06,108983082.76527777
2022-12-07,108564198.76527777
2022-12-08,107471278.76527777
2022-12-09,106198168.76527777
2022-12-12,105894872.76527777
2022-12-13,105279564.76527777
2022-12-14,107090079.76527777
2022-12-15,105251514.76527777
2022-12-16,105112474.76527777
2022-12-19,104735625.76527777
2022-12-20,104101079.76527777
2022-12-21,103472084.76527777
2022-12-22,103900165.76527777
2022-12-23,101881214.76527777
2022-12-26,102187143.76527777
2022-12-27,102742532.76527777
2022-12-28,100767670.76527777
2022-12-29,99818660.36084127
2023-01-02,100802077.36084127
2023-01-03,100722230.36084127
2023-01-04,102051051.36084127
2023-01-05,102636579.36084127
2023-01-06,102913435.36084127
2023-01-09,105790020.36084127
2023-01-10,105818773.36084127
2023-01-11,106669169.36084127
2023-01-12,106833435.36084127
2023-01-13,107344149.36084127
2023-01-16,107844004.36084127
2023-01-17,106209481.36084127
2023-01-18,105424244.36084127
2023-01-19,105149163.36084127
2023-01-20,106128390.36084127
2023-01-25,108139529.36084127
2023-01-26,111018497.36084127
2023-01-27,111632336.36084127
2023-01-30,110919852.36084127
2023-01-31,110032407.29621628
2023-02-01,111418207.29621628
2023-02-02,112274124.29621628
2023-02-03,113283395.29621628
2023-02-06,111382089.29621628
2023-02-07,113025029.29621628
2023-02-08,114073147.29621628
2023-02-09,115043126.29621628
2023-02-10,113600919.29621628
2023-02-13,112028291.29621628
2023-02-14,112971332.29621628
2023-02-15,111899716.29621628
2023-02-16,114205132.29621628
2023-02-17,112259095.29621628
2023-02-20,111999765.29621628
2023-02-21,112107887.29621628
2023-02-22,110364914.29621628
2023-02-23,110804564.29621628
2023-02-24,110092079.29621628
2023-02-27,109790248.29621628
2023-02-28,111200056.65849498
2023-03-02,111358019.65849498
2023-03-03,112361127.65849498
2023-03-06,115003818.65849498
2023-03-07,115691136.65849498
2023-03-08,113613313.65849498
2023-03-09,112387552.65849498
2023-03-10,111559740.65849498
2023-03-13,112867520.65849498
2023-03-14,110746785.65849498
2023-03-15,111900464.65849498
2023-03-16,113021415.65849498
2023-03-17,112245323.65849498
2023-03-20,111634936.65849498
2023-03-21,111707523.65849498
2023-03-22,114120082.65849498
2023-03-23,114731432.65849498
2023-03-24,113598327.65849498
2023-03-27,113521776.65849498
2023-03-28,114128942.65849498
2023-03-29,114547622.65849498
2023-03-30,114388266.65849498
2023-03-31,115815182.42486033
2023-04-03,116709544.42486033
2023-04-04,115818385.42486033
2023-04-05,117773447.42486033
2023-04-06,115373634.42486033
2023-04-07,116297378.42486033
2023-04-10,117676453.42486033
2023-04-11,119908730.42486033
2023-04-12,117807450.42486033
2023-04-13,118238208.42486033
2023-04-14,119824817.42486033
2023-04-17,120787657.42486033
2023-04-18,120841011.42486033
2023-04-19,120796181.42486033
2023-04-20,119323317.42486033
2023-04-21,117421344.42486033
2023-04-24,115613262.42486033
2023-04-25,113272891.42486033
2023-04-26,112998684.42486033
2023-04-27,114416104.42486033
2023-04-28,114232907.34170528
2023-05-02,116274175.34170528
2023-05-03,113648850.34170528
2023-05-04,113358415.34170528
2023-05-08,112431113.34170528
2023-05-09,112211377.34170528
2023-05-10,110583340.34170528
2023-05-11,109829470.34170528
2023-05-12,109096653.34170528
2023-05-15,109366310.34170528
2023-05-16,109719152.34170528
2023-05-17,111385404.34170528
2023-05-18,112113945.34170528
2023-05-19,112242202.34170528
2023-05-22,113423450.34170528
2023-05-23,115504497.34170528
2023-05-24,115443526.34170528
2023-05-25,114453914.34170528
2023-05-26,113924725.34170528
